run_name,end,growth,return,sharpe,SQN,Trades,open_trades,average_pnl,won_trades,loss_trades,long_trades,short_trades,max_DD
9_0.3,2720388.0006236043,220388.00062360428,1.0881552002494417,0.593866725165501,1.0696565750077986,19415,39,8.754384311018805,6857,12558,9443,9972,384531.9743213919
9_0.4,2719838.8092223713,219838.80922237132,1.0879355236889485,0.6628351571315402,1.1011960337954718,18231,37,9.422677449740034,6480,11751,8867,9364,391322.04874873906
9_0.5,2602830.076182268,102830.0761822681,1.0411320304729073,0.01597615689466736,0.3855073420824608,16715,30,3.3898440089843835,5957,10758,8163,8552,378579.580278825
9_0.6,2515713.6175148687,15713.617514868733,1.0062854470059475,-0.32590051432551076,-0.14683908987710043,14650,29,-1.3526514909348561,5231,9419,7129,7521,337731.8023670651
3_0.3,2299395.3216428366,-200604.67835716344,0.9197581286571346,-2.5917193529724187,-1.667290426808541,48122,23,-4.4675204851897155,16192,31930,23278,24844,317739.45814943593
3_0.4,2252821.061191224,-247178.93880877597,0.9011284244764897,-2.3247886290062505,-2.0765116667370367,43859,23,-5.9373799867509165,14890,28969,21211,22648,353920.24900506064
3_0.5,2297783.1814021175,-202216.81859788252,0.919113272560847,-1.5553142518946361,-1.769946271739259,38477,18,-5.555440055514409,13198,25279,18713,19764,320929.00554605573
3_0.6,2324751.027449378,-175248.9725506222,0.9299004109797512,-1.6773851589990059,-1.644479779775319,31998,17,-5.790418950738251,11046,20952,15597,16401,282323.6594961118
5_0.3,2624704.904384773,124704.90438477322,1.0498819617539092,0.12808982612488257,0.6846849146319792,31429,31,3.2568988271223844,10763,20666,15207,16222,299811.87153000664
5_0.4,2567136.629284259,67136.62928425893,1.0268546517137036,-0.21237847626082051,0.3281340039433703,29123,30,1.63468254074467,10029,19094,14083,15040,296876.9764340925
5_0.5,2539056.6767559825,39056.67675598245,1.015622670702393,-0.48588946265498323,0.1353929123485529,26145,26,0.7197970172051676,9045,17100,12698,13447,286391.0870766649
5_0.6,2500755.2002062784,755.2002062783577,1.0003020800825113,-0.7889470887737617,-0.13316241768782244,22316,26,-0.7643098037207907,7742,14574,10860,11456,254438.42104077945
