Stock,Entry_time,Entry_Price,qty,value
asianpaint_15min,2017-08-02 11:45:00,1144.84999,-43,49228.549569999996
adaniports_15min,2017-08-02 12:00:00,406.649999,-123,50017.949877
adaniports_15min,2017-08-02 12:15:00,406.5,123,-49999.5
coalindia_15min,2017-08-02 12:30:00,252.699999,-197,49781.899803
bajajfinsv_15min,2017-08-02 12:45:00,5028.5,-9,45256.5
bpcl_15min,2017-08-02 13:00:00,489.35,-102,49913.700000000004
adaniports_15min,2017-08-02 13:15:00,406.19999900000005,-123,49962.59987700001
adaniports_15min,2017-08-02 13:30:00,406.1,123,-49950.3
bpcl_15min,2017-08-02 13:45:00,486.25,102,-49597.5
adaniports_15min,2017-08-02 14:00:00,406.69999900000005,-123,50024.09987700001
adaniports_15min,2017-08-02 14:15:00,406.35,123,-49981.05
adaniports_15min,2017-08-02 14:30:00,406.0,-123,49938.0
adaniports_15min,2017-08-02 14:45:00,406.35,123,-49981.05
hcltech_15min,2017-08-02 15:00:00,443.875,-112,49714.0
axisbank_15min,2017-08-02 15:15:00,520.649999,-96,49982.399904
adaniports_15min,2017-08-02 15:30:00,414.25,120,-49710.0
bpcl_15min,2017-08-03 09:30:00,489.149999,-103,50382.449897
bajaj_auto_15min,2017-08-03 09:45:00,2819.09999,17,-47924.699830000005
bpcl_15min,2017-08-03 10:00:00,497.149999,103,-51206.449897
icicibank_15min,2017-08-03 10:15:00,300.55,-166,49891.3
bajajfinsv_15min,2017-08-03 10:30:00,5062.75,9,-45564.75
bhartiartl_15min,2017-08-03 10:45:00,418.0,119,-49742.0
bpcl_15min,2017-08-03 11:00:00,494.6,101,-49954.600000000006
bajajfinsv_15min,2017-08-03 11:15:00,5077.85,9,-45700.65
hindunilvr_15min,2017-08-03 11:30:00,1174.29999,42,-49320.59958
adaniports_15min,2017-08-03 11:45:00,408.149999,-120,48977.999879999996
hindalco_15min,2017-08-03 12:00:00,223.4,-223,49818.200000000004
bhartiartl_15min,2017-08-03 12:15:00,417.3,-119,49658.700000000004
ultracemco_15min,2017-08-03 12:30:00,4147.0,12,-49764.0
adaniports_15min,2017-08-03 12:45:00,408.69999900000005,122,-49861.399878000004
asianpaint_15min,2017-08-03 13:00:00,1147.0,43,-49321.0
asianpaint_15min,2017-08-03 13:15:00,1148.95,43,-49404.85
hdfcbank_15min,2017-08-03 13:30:00,895.075,56,-50124.200000000004
bhartiartl_15min,2017-08-03 14:00:00,418.05,119,-49747.950000000004
bhartiartl_15min,2017-08-03 14:15:00,420.25,119,-50009.75
lt_15min,2017-08-03 14:30:00,1171.95,42,-49221.9
britannia_15min,2017-08-03 14:45:00,1938.1749949999999,25,-48454.374874999994
tcs_15min,2017-08-03 15:00:00,1250.95,40,-50038.0
hdfcbank_15min,2017-08-03 15:15:00,891.825,-56,49942.200000000004
adaniports_15min,2017-08-03 15:30:00,408.399999,-122,49824.799878
hdfcbank_15min,2017-08-04 09:30:00,890.7749949999999,-56,49883.399719999994
bajfinance_15min,2017-08-04 09:45:00,1717.45,-29,49806.05
bajfinance_15min,2017-08-04 10:00:00,1714.0,-29,49706.0
hcltech_15min,2017-08-04 10:15:00,444.0,113,-50172.0
britannia_15min,2017-08-04 10:30:00,1934.974995,-25,48374.374875
adaniports_15min,2017-08-04 10:45:00,409.5,122,-49959.0
hindalco_15min,2017-08-04 11:00:00,224.34999900000003,223,-50030.04977700001
nestleind_15min,2017-08-04 11:15:00,6701.85,-14,93825.90000000001
maruti_15min,2017-08-04 11:30:00,7748.0,6,-46488.0
bhartiartl_15min,2017-08-04 11:45:00,415.3,-119,49420.700000000004
bhartiartl_15min,2017-08-04 12:00:00,414.85,-121,50196.850000000006
adaniports_15min,2017-08-04 12:15:00,407.25,-122,49684.5
adaniports_15min,2017-08-04 12:30:00,406.3,-123,49974.9
ntpc_15min,2017-08-04 12:45:00,144.74999916666667,347,-50228.249710833334
cipla_15min,2017-08-04 13:00:00,565.0,89,-50285.0
eichermot_15min,2017-08-04 13:15:00,31023.95,1,-31023.95
bajfinance_15min,2017-08-04 13:30:00,1729.0,29,-50141.0
asianpaint_15min,2017-08-04 13:45:00,1152.84999,-43,49572.549569999996
coalindia_15min,2017-08-04 14:00:00,245.84999900000003,197,-48432.449803
coalindia_15min,2017-08-04 14:15:00,246.699999,204,-50326.799796
asianpaint_15min,2017-08-04 14:30:00,1159.25,43,-49847.75
axisbank_15min,2017-08-04 14:45:00,511.899999,96,-49142.399904
grasim_15min,2017-08-04 15:00:00,1126.4,44,-49561.600000000006
bhartiartl_15min,2017-08-04 15:15:00,422.19999900000005,121,-51086.19987900001
axisbank_15min,2017-08-04 15:30:00,510.6,98,-50038.8
sunpharma_15min,2017-08-07 09:30:00,509.399999,93,-47374.199906999995
adaniports_15min,2017-08-07 09:45:00,411.25,123,-50583.75
bajfinance_15min,2017-08-07 10:00:00,1763.75,28,-49385.0
infy_15min,2017-08-07 10:15:00,490.14999950000004,-103,50485.449948500005
adaniports_15min,2017-08-07 10:30:00,412.6,122,-50337.200000000004
asianpaint_15min,2017-08-07 10:45:00,1149.5,-43,49428.5
tcs_15min,2017-08-07 11:00:00,1250.9,-40,50036.0
itc_15min,2017-08-07 11:15:00,281.6499990000001,-179,50415.34982100002
hcltech_15min,2017-08-07 11:30:00,443.5,-113,50115.5
axisbank_15min,2017-08-07 11:45:00,508.75,-98,49857.5
hcltech_15min,2017-08-07 12:15:00,444.375,-113,50214.375
axisbank_15min,2017-08-07 12:30:00,509.0,-99,50391.0
itc_15min,2017-08-07 12:45:00,282.8,179,-50621.200000000004
cipla_15min,2017-08-07 13:00:00,564.0,-89,50196.0
bhartiartl_15min,2017-08-07 13:30:00,419.35,-119,49902.65
