run_name,end,growth,% return,sharpe,SQN,Trades,open_trades,average_pnl,won_trades,loss_trades,long_trades,short_trades,max_DD
5_0.3,3049847.7003126945,549847.7003126945,21.99,0.82,2.88,44589,41,11.61,15470,29119,20616,23973,326713.91
5_0.4,3024341.3533669533,524341.3533669533,20.97,0.71,2.85,42219,38,11.65,14792,27427,19249,22970,331017.39
5_0.5,2955106.988950278,455106.98895027814,18.2,0.77,2.56,39071,31,10.85,13754,25317,17534,21537,330931.14
9_0.4,2880157.2693419484,380157.26934194844,15.21,0.76,1.73,27563,46,11.46,9818,17745,12490,15073,450226.0
9_0.5,2862661.975169833,362661.9751698328,14.51,0.77,1.68,26436,42,11.3,9564,16872,11716,14720,455661.56
5_0.6,2776115.928245312,276115.92824531207,11.04,0.52,1.62,34679,31,7.12,12268,22411,15365,19314,307898.49
9_0.3,2829478.9253487457,329478.92534874566,13.18,0.71,1.44,28313,46,9.36,9930,18383,13070,15243,450235.61
9_0.6,2785024.1053854343,285024.10538543435,11.4,0.59,1.36,24762,40,9.28,9035,15727,10628,14134,405914.78
3_0.3,2482517.663976689,-17482.33602331113,-0.7,-0.59,-0.24,61654,28,-0.58,21042,40612,29048,32606,314331.74
3_0.5,2449604.199084877,-50395.80091512296,-2.02,-0.72,-0.46,50330,20,-1.24,17505,32825,23579,26751,328427.44
3_0.4,2417430.6594775347,-82569.3405224653,-3.3,-0.85,-0.7,56651,25,-1.75,19558,37093,26596,30055,299999.54
3_0.6,2371533.1209719386,-128466.8790280614,-5.14,-0.92,-1.1,42738,19,-3.21,14912,27826,19983,22755,311441.21
