Stock,Entry_time,Entry_Price,qty,value
eichermot_15min,2017-08-03 12:45:00,31019.0,1,-31019.0
eichermot_15min,2017-08-03 13:45:00,30982.4,-1,30982.4
tcs_15min,2017-08-16 12:00:00,1240.45,40,-49618.0
tcs_15min,2017-08-16 12:15:00,1238.5,-40,49540.0
hcltech_15min,2017-08-29 12:15:00,427.175,117,-49979.475
ntpc_15min,2017-08-29 12:45:00,139.70833333333334,357,-49875.875
hcltech_15min,2017-08-29 13:00:00,426.475,-117,49897.575000000004
ntpc_15min,2017-08-29 15:15:00,140.0,-357,49980.0
ultracemco_15min,2017-08-31 12:00:00,3997.0,12,-47964.0
ultracemco_15min,2017-08-31 13:15:00,3991.19999,-12,47894.39988
gail_15min,2017-09-04 14:45:00,143.25,348,-49851.0
gail_15min,2017-09-05 09:30:00,143.4375,-348,49916.25
gail_15min,2017-09-07 13:15:00,143.96249962500002,347,-49954.98736987501
gail_15min,2017-09-07 14:30:00,143.64375,-347,49844.381250000006
tcs_15min,2017-09-12 12:00:00,1232.5,40,-49300.0
tcs_15min,2017-09-13 11:30:00,1255.7,-40,50228.0
mm_15min,2017-09-20 13:15:00,649.2,77,-49988.4
mm_15min,2017-09-20 14:30:00,649.5,-77,50011.5
infratel_15min,2017-09-21 14:15:00,389.05,128,-49798.4
infratel_15min,2017-09-21 14:30:00,388.399999,-128,49715.199872
britannia_15min,2017-09-26 11:15:00,2140.099995,23,-49222.299885
hdfc_15min,2017-09-26 12:30:00,1738.7,28,-48683.6
hdfc_15min,2017-09-26 15:15:00,1739.7999899999998,-28,48714.399719999994
britannia_15min,2017-09-27 10:00:00,2162.625,-23,49740.375
britannia_15min,2017-09-27 12:45:00,2144.15,23,-49315.450000000004
britannia_15min,2017-09-27 15:00:00,2147.525,-23,49393.075000000004
indusindbk_15min,2017-09-28 12:00:00,1658.79999,30,-49763.9997
eichermot_15min,2017-09-28 12:45:00,30030.0,1,-30030.0
eichermot_15min,2017-09-28 13:15:00,29984.5499,-1,29984.5499
hcltech_15min,2017-09-29 13:15:00,435.4499995,114,-49641.299943
hcltech_15min,2017-09-29 14:30:00,435.02499950000015,-114,49592.849943000016
powergrid_15min,2017-10-03 13:00:00,208.349999,239,-49795.649761
powergrid_15min,2017-10-03 13:45:00,208.099999,-239,49735.899761
icicibank_15min,2017-10-18 13:00:00,265.05,188,-49829.4
techm_15min,2017-10-18 13:15:00,461.3,-107,49359.1
infratel_15min,2017-10-18 14:00:00,466.3,-106,49427.8
icicibank_15min,2017-10-18 14:30:00,264.39999900000004,-188,49707.199812000006
infratel_15min,2017-10-23 12:15:00,451.399999,110,-49653.99989
infratel_15min,2017-10-23 13:45:00,450.6,-110,49566.0
powergrid_15min,2017-10-26 12:45:00,211.75,236,-49973.0
powergrid_15min,2017-10-26 14:00:00,211.65,-236,49949.4
sbin_15min,2017-10-26 14:45:00,320.19999900000005,-154,49310.79984600001
zeel_15min,2017-10-31 13:00:00,543.45,92,-49997.4
zeel_15min,2017-10-31 14:30:00,542.1,-92,49873.200000000004
asianpaint_15min,2017-11-07 13:00:00,1151.0,43,-49493.0
asianpaint_15min,2017-11-07 14:00:00,1147.2,-43,49329.6
indusindbk_15min,2017-11-10 13:00:00,1661.34999,30,-49840.4997
indusindbk_15min,2017-11-10 13:30:00,1653.09999,-30,49592.9997
icicibank_15min,2017-11-14 12:00:00,312.94999900000005,159,-49759.04984100001
bpcl_15min,2017-11-14 13:00:00,492.6,101,-49752.600000000006
bpcl_15min,2017-11-14 13:30:00,491.19999900000005,-101,49611.19989900001
icicibank_15min,2017-11-15 09:30:00,313.6,-159,49862.4
infy_15min,2017-11-17 12:30:00,487.9499995,102,-49770.899949
infy_15min,2017-11-17 14:45:00,488.02499950000004,-102,49778.549949
grasim_15min,2017-11-21 12:45:00,1180.0,42,-49560.0
grasim_15min,2017-11-21 14:00:00,1175.65,-42,49377.3
nestleind_15min,2017-11-24 12:15:00,7590.0,6,-45540.0
nestleind_15min,2017-11-24 12:45:00,7585.0,-6,45510.0
eichermot_15min,2017-12-12 12:15:00,28846.2999,1,-28846.2999
powergrid_15min,2017-12-12 12:30:00,202.9,246,-49913.4
bpcl_15min,2017-12-12 13:00:00,504.0,99,-49896.0
itc_15min,2017-12-12 13:15:00,262.19999900000005,190,-49817.99981000001
bpcl_15min,2017-12-12 14:15:00,502.0,-99,49698.0
powergrid_15min,2017-12-12 15:00:00,202.8,-246,49888.8
ioc_15min,2017-12-12 15:15:00,198.22499950000002,-252,49952.699874000005
itc_15min,2017-12-13 09:30:00,261.14999900000004,-190,49618.49981000001
techm_15min,2017-12-15 12:45:00,509.399999,98,-49921.199902
techm_15min,2017-12-15 14:15:00,509.5,-98,49931.0
hindunilvr_15min,2018-01-01 12:45:00,1359.95,36,-48958.200000000004
hindunilvr_15min,2018-01-01 15:15:00,1357.04999,-36,48853.79964
hcltech_15min,2018-01-04 13:00:00,444.175,112,-49747.6
hcltech_15min,2018-01-04 15:15:00,444.4499995,-112,49778.399944
ultracemco_15min,2018-01-10 12:30:00,4398.0,11,-48378.0
ultracemco_15min,2018-01-10 13:45:00,4394.0,-11,48334.0
grasim_15min,2018-01-12 12:15:00,1234.7,40,-49388.0
grasim_15min,2018-01-12 12:30:00,1230.15,-40,49206.0
wipro_15min,2018-01-17 13:00:00,244.875,203,-49709.625
wipro_15min,2018-01-17 13:30:00,244.23749925000007,-203,49580.21234775001
asianpaint_15min,2018-01-18 12:15:00,1190.0,41,-48790.0
asianpaint_15min,2018-01-18 13:45:00,1188.0,-41,48708.0
drreddy_15min,2018-01-29 12:30:00,2405.25,20,-48105.0
maruti_15min,2018-01-29 13:00:00,9653.39999,-5,48266.99995
drreddy_15min,2018-01-29 13:15:00,2395.55,-20,47911.0
maruti_15min,2018-01-29 13:45:00,9695.1,5,-48475.5
nestleind_15min,2018-01-30 12:00:00,7458.05,6,-44748.3
nestleind_15min,2018-01-30 13:30:00,7440.8,-6,44644.8
coalindia_15min,2018-01-31 12:30:00,294.3,169,-49736.700000000004
coalindia_15min,2018-02-01 09:45:00,294.19999900000005,-169,49719.79983100001
hindunilvr_15min,2018-02-06 12:45:00,1318.34999,37,-48778.949629999996
nestleind_15min,2018-02-06 13:00:00,7020.0,7,-49140.0
hindunilvr_15min,2018-02-07 09:45:00,1325.84999,-37,49056.449629999996
nestleind_15min,2018-02-07 12:00:00,7110.0,-7,49770.0
icicibank_15min,2018-02-09 12:15:00,325.3,153,-49770.9
icicibank_15min,2018-02-09 15:15:00,325.25,-153,49763.25
powergrid_15min,2018-02-14 12:30:00,194.599999,256,-49817.599744
powergrid_15min,2018-02-15 12:00:00,196.05,-256,50188.8
ongc_15min,2018-02-22 12:15:00,186.099999,268,-49874.799732
gail_15min,2018-02-22 13:45:00,171.675,290,-49785.75
ongc_15min,2018-02-22 14:45:00,185.949999,-268,49834.599731999995
gail_15min,2018-02-23 09:45:00,170.66250000000002,-290,49492.12500000001
ntpc_15min,2018-03-05 12:15:00,134.20833333333334,371,-49791.29166666667
hindunilvr_15min,2018-03-05 12:45:00,1302.2,38,-49483.6
ntpc_15min,2018-03-05 13:00:00,133.875,-371,49667.625
hindunilvr_15min,2018-03-05 13:30:00,1300.65,-38,49424.700000000004
heromotoco_15min,2018-03-19 11:45:00,3521.4,14,-49299.6
bpcl_15min,2018-03-19 12:15:00,432.19999900000005,115,-49702.999885000005
bpcl_15min,2018-03-19 13:15:00,430.6,-115,49519.0
hcltech_15min,2018-03-22 13:15:00,469.1999995,106,-49735.199947
hcltech_15min,2018-03-22 13:45:00,467.3,-106,49533.8
ultracemco_15min,2018-03-23 12:15:00,3841.3,12,-46095.600000000006
eichermot_15min,2018-03-23 12:45:00,27547.3499,1,-27547.3499
eichermot_15min,2018-03-23 15:00:00,27620.2999,-1,27620.2999
ultracemco_15min,2018-03-26 10:00:00,3855.4,-12,46264.8
ongc_15min,2018-03-26 12:00:00,176.949999,282,-49899.899718
ongc_15min,2018-03-27 10:45:00,178.349999,-282,50294.699717999996
bhartiartl_15min,2018-03-28 12:30:00,402.1,124,-49860.4
reliance_15min,2018-03-28 13:15:00,889.95,-55,48947.25
