run_name,end,growth,% return,sharpe,SQN,Trades,open_trades,average_pnl,won_trades,loss_trades,long_trades,short_trades,max_DD
9_3_3_10_10,2503182.648071162,3182.648071161937,0.13,-44.4,1.02,27,0,117.88,10,17,15,12,1773.61
9_3_5_10_10,2503182.648071162,3182.648071161937,0.13,-44.4,1.02,27,0,117.88,10,17,15,12,1773.61
9_3_9_10_10,2503182.648071162,3182.648071161937,0.13,-44.4,1.02,27,0,117.88,10,17,15,12,1773.61
9_5_5_10_15,2500126.3054611003,126.30546110030264,0.01,-138.78,0.23,8,0,15.79,4,4,1,7,670.88
9_5_3_10_15,2500126.3054611003,126.30546110030264,0.01,-138.78,0.23,8,0,15.79,4,4,1,7,670.88
9_5_9_10_15,2500126.3054611003,126.30546110030264,0.01,-138.78,0.23,8,0,15.79,4,4,1,7,670.88
9_9_3_10_15,2508351.923608021,8351.92360802088,0.33,-1.26,0.21,826,2,3.48,317,509,457,369,28109.98
9_9_9_10_15,2508351.923608021,8351.92360802088,0.33,-1.26,0.21,826,2,3.48,317,509,457,369,28109.98
9_9_5_10_15,2508351.923608021,8351.92360802088,0.33,-1.26,0.21,826,2,3.48,317,509,457,369,28109.98
9_5_9_15_15,2500084.215621163,84.21562116313726,0.0,-70.85,0.12,13,0,6.48,5,8,6,7,882.97
9_5_5_15_15,2500084.215621163,84.21562116313726,0.0,-70.85,0.12,13,0,6.48,5,8,6,7,882.97
9_5_3_15_15,2500084.215621163,84.21562116313726,0.0,-70.85,0.12,13,0,6.48,5,8,6,7,882.97
9_3_3_10_15,2500159.1996846944,159.19968469440937,0.01,-11.83,0.03,187,0,0.85,56,131,15,172,5723.11
9_3_5_10_15,2500159.1996846944,159.19968469440937,0.01,-11.83,0.03,187,0,0.85,56,131,15,172,5723.11
9_3_9_10_15,2500159.1996846944,159.19968469440937,0.01,-11.83,0.03,187,0,0.85,56,131,15,172,5723.11
9_9_5_15_15,2501789.4442721633,1789.444272163324,0.07,-1.1,-0.41,2087,3,-4.61,770,1317,1718,369,45521.38
9_9_9_15_15,2501789.4442721633,1789.444272163324,0.07,-1.1,-0.41,2087,3,-4.61,770,1317,1718,369,45521.38
9_9_3_15_15,2501789.4442721633,1789.444272163324,0.07,-1.1,-0.41,2087,3,-4.61,770,1317,1718,369,45521.38
9_3_5_15_10,2496527.089923787,-3472.9100762130693,-0.14,-6.58,-0.46,292,0,-11.89,75,217,280,12,9895.52
9_3_3_15_10,2496527.089923787,-3472.9100762130693,-0.14,-6.58,-0.46,292,0,-11.89,75,217,280,12,9895.52
9_3_9_15_10,2496527.089923787,-3472.9100762130693,-0.14,-6.58,-0.46,292,0,-11.89,75,217,280,12,9895.52
9_9_9_10_10,2500357.1507570203,357.15075702033937,0.01,-2.3,-0.55,538,2,-9.49,219,319,457,81,20496.75
9_9_5_10_10,2500357.1507570203,357.15075702033937,0.01,-2.3,-0.55,538,2,-9.49,219,319,457,81,20496.75
9_9_3_10_10,2500357.1507570203,357.15075702033937,0.01,-2.3,-0.55,538,2,-9.49,219,319,457,81,20496.75
9_3_5_15_15,2493549.8498820695,-6450.1501179304905,-0.26,-5.01,-0.72,452,0,-14.27,121,331,280,172,13149.83
9_3_9_15_15,2493549.8498820695,-6450.1501179304905,-0.26,-5.01,-0.72,452,0,-14.27,121,331,280,172,13149.83
9_3_3_15_15,2493549.8498820695,-6450.1501179304905,-0.26,-5.01,-0.72,452,0,-14.27,121,331,280,172,13149.83
9_5_9_15_10,2499604.1851061084,-395.8148938915692,-0.02,-93.59,-0.8,8,0,-49.48,2,6,6,2,576.7
9_5_5_15_10,2499604.1851061084,-395.8148938915692,-0.02,-93.59,-0.8,8,0,-49.48,2,6,6,2,576.7
9_5_3_15_10,2499604.1851061084,-395.8148938915692,-0.02,-93.59,-0.8,8,0,-49.48,2,6,6,2,576.7
9_9_3_15_10,2493968.3119238093,-6031.6880761906505,-0.24,-1.68,-0.82,1799,3,-9.68,672,1127,1718,81,38259.24
9_9_5_15_10,2493968.3119238093,-6031.6880761906505,-0.24,-1.68,-0.82,1799,3,-9.68,672,1127,1718,81,38259.24
9_9_9_15_10,2493968.3119238093,-6031.6880761906505,-0.24,-1.68,-0.82,1799,3,-9.68,672,1127,1718,81,38259.24
9_5_9_10_10,2499646.2749460456,-353.72505395440385,-0.01,-214.59,-1.68,3,0,-117.91,1,2,1,2,606.06
9_5_3_10_10,2499646.2749460456,-353.72505395440385,-0.01,-214.59,-1.68,3,0,-117.91,1,2,1,2,606.06
9_5_5_10_10,2499646.2749460456,-353.72505395440385,-0.01,-214.59,-1.68,3,0,-117.91,1,2,1,2,606.06
