run_name,end,growth,return,sharpe,SQN,Trades,open_trades,average_pnl,won_trades,loss_trades,long_trades,short_trades,max_DD
9_9_5_15_15,2010978.3880022573,-489021.6119977427,0.8043913552009029,-1.553626288988243,-10.387202269739637,51202,5,-9.736729701608633,23043,28159,25695,25507,527313.7850313992
9_9_9_15_10,2141971.2383677983,-358028.7616322017,0.8567884953471193,-1.6696210688881892,-8.588340116535013,36882,3,-9.968483343887637,16571,20311,25912,10970,400405.00081310933
9_9_3_15_10,2141971.2383677983,-358028.7616322017,0.8567884953471193,-1.6696210688881892,-8.588340116535013,36882,3,-9.968483343887637,16571,20311,25912,10970,400405.00081310933
9_9_5_10_10,2272129.803093928,-227870.1969060721,0.9088519212375712,-1.7765354317735667,-7.508815769651412,21801,2,-10.679271595160445,9881,11920,10715,11086,254173.61709462013
9_9_5_15_10,2141971.2383677983,-358028.7616322017,0.8567884953471193,-1.6696210688881892,-8.588340116535013,36882,3,-9.968483343887637,16571,20311,25912,10970,400405.00081310933
9_9_9_10_10,2272129.803093928,-227870.1969060721,0.9088519212375712,-1.7765354317735667,-7.508815769651412,21801,2,-10.679271595160445,9881,11920,10715,11086,254173.61709462013
9_9_3_10_10,2272129.803093928,-227870.1969060721,0.9088519212375712,-1.7765354317735667,-7.508815769651412,21801,2,-10.679271595160445,9881,11920,10715,11086,254173.61709462013
9_9_9_10_15,2127864.4470999986,-372135.5529000014,0.8511457788399994,-1.5590528210631995,-9.570884390167983,36378,4,-10.369831672630418,16470,19908,10612,25766,407203.4003505567
9_9_3_10_15,2127864.4470999986,-372135.5529000014,0.8511457788399994,-1.5590528210631995,-9.570884390167983,36378,4,-10.369831672630418,16470,19908,10612,25766,407203.4003505567
9_9_5_10_15,2127864.4470999986,-372135.5529000014,0.8511457788399994,-1.5590528210631995,-9.570884390167983,36378,4,-10.369831672630418,16470,19908,10612,25766,407203.4003505567
9_9_9_15_15,2010978.3880022573,-489021.6119977427,0.8043913552009029,-1.553626288988243,-10.387202269739637,51202,5,-9.736729701608633,23043,28159,25695,25507,527313.7850313992
9_9_3_15_15,2010978.3880022573,-489021.6119977427,0.8043913552009029,-1.553626288988243,-10.387202269739637,51202,5,-9.736729701608633,23043,28159,25695,25507,527313.7850313992
