Stock,Entry_time,Entry_Price,qty,value
bajfinance_15min,2017-08-01 15:00:00,1715.84999,-29,49759.64971
heromotoco_15min,2017-08-01 15:15:00,3737.9,13,-48592.700000000004
grasim_15min,2017-08-01 15:30:00,1107.04999,45,-49817.24955
bajaj_auto_15min,2017-08-02 09:30:00,2799.25,17,-47587.25
drreddy_15min,2017-08-02 09:45:00,2418.0,-20,48360.0
bhartiartl_15min,2017-08-02 10:00:00,420.5,119,-50039.5
bajaj_auto_15min,2017-08-02 10:15:00,2818.15,-17,47908.55
tatasteel_15min,2017-08-02 10:30:00,571.5499990000002,-87,49724.84991300001
tatamotors_15min,2017-08-02 10:45:00,446.6,-112,50019.200000000004
jswsteel_15min,2017-08-02 11:00:00,216.94999900000002,-230,49898.49977
grasim_15min,2017-08-02 11:15:00,1094.2,-45,49239.0
eichermot_15min,2017-08-02 11:30:00,31550.8499,1,-31550.8499
hcltech_15min,2017-08-02 12:15:00,446.6999995,111,-49583.6999445
coalindia_15min,2017-08-02 12:30:00,252.699999,-198,50034.599802
hindalco_15min,2017-08-02 12:45:00,225.449999,221,-49824.449778999995
eichermot_15min,2017-08-02 13:00:00,31466.45,-1,31466.45
grasim_15min,2017-08-02 13:15:00,1101.5,45,-49567.5
bpcl_15min,2017-08-02 13:30:00,487.899999,-102,49765.799898
cipla_15min,2017-08-02 13:45:00,568.5,88,-50028.0
britannia_15min,2017-08-02 14:00:00,1936.0,25,-48400.0
ioc_15min,2017-08-02 14:45:00,185.97499950000002,-267,49655.32486650001
adaniports_15min,2017-08-02 15:30:00,414.25,120,-49710.0
axisbank_15min,2017-08-03 09:30:00,515.7,-97,50022.9
bajfinance_15min,2017-08-03 09:45:00,1722.2,29,-49943.8
asianpaint_15min,2017-08-03 10:00:00,1136.84999,-43,48884.549569999996
gail_15min,2017-08-03 10:15:00,139.25625000000002,359,-49992.99375000001
hindalco_15min,2017-08-03 10:30:00,225.449999,-221,49824.449778999995
adaniports_15min,2017-08-03 10:45:00,405.94999900000005,-120,48713.99988
bajaj_auto_15min,2017-08-03 11:00:00,2824.0,17,-48008.0
bajajfinsv_15min,2017-08-03 11:15:00,5077.85,9,-45700.65
sunpharma_15min,2017-08-03 11:30:00,532.0,93,-49476.0
heromotoco_15min,2017-08-03 11:45:00,3808.15,13,-49505.950000000004
cipla_15min,2017-08-03 12:00:00,569.5,-88,50116.0
heromotoco_15min,2017-08-03 12:15:00,3812.0,13,-49556.0
bpcl_15min,2017-08-03 13:00:00,494.75,101,-49969.75
hdfcbank_15min,2017-08-03 13:15:00,895.6499949999999,55,-49260.749724999994
hcltech_15min,2017-08-03 13:30:00,441.125,114,-50288.25
cipla_15min,2017-08-03 13:45:00,565.2,-88,49737.600000000006
hindalco_15min,2017-08-03 14:00:00,223.59999900000003,-223,49862.79977700001
mm_15min,2017-08-03 14:15:00,706.799995,-70,49475.99965
indusindbk_15min,2017-08-03 14:45:00,1653.2,-30,49596.0
bpcl_15min,2017-08-03 15:00:00,489.3,-101,49419.3
ntpc_15min,2017-08-03 15:15:00,143.0833325,-346,49506.83304500001
hindunilvr_15min,2017-08-03 15:30:00,1173.95,-42,49305.9
ioc_15min,2017-08-04 09:30:00,197.22499950000002,258,-50884.049871
drreddy_15min,2017-08-04 09:45:00,2302.0,-21,48342.0
lt_15min,2017-08-04 10:00:00,1168.15,-42,49062.3
hindalco_15min,2017-08-04 10:15:00,225.5,223,-50286.5
bajaj_auto_15min,2017-08-04 10:30:00,2834.0,-17,48178.0
bajajfinsv_15min,2017-08-04 10:45:00,5139.14999,-9,46252.34991
bhartiartl_15min,2017-08-04 11:00:00,418.6,-119,49813.4
grasim_15min,2017-08-04 11:15:00,1118.59999,-45,50336.99955
cipla_15min,2017-08-04 11:30:00,560.899999,88,-49359.199912
ntpc_15min,2017-08-04 11:45:00,144.70833333333334,352,-50937.333333333336
britannia_15min,2017-08-04 12:00:00,1939.599995,25,-48489.999875
bajaj_auto_15min,2017-08-04 12:15:00,2868.69999,17,-48767.89983
hdfcbank_15min,2017-08-04 12:30:00,890.7749949999999,56,-49883.399719999994
coalindia_15min,2017-08-04 12:45:00,243.84999900000003,198,-48282.29980200001
bpcl_15min,2017-08-04 13:00:00,501.19999900000005,99,-49618.799901000006
axisbank_15min,2017-08-04 13:15:00,509.69999900000005,97,-49440.899903000005
sunpharma_15min,2017-08-04 13:30:00,506.6,99,-50153.4
tcs_15min,2017-08-04 13:45:00,1252.5,-39,48847.5
asianpaint_15min,2017-08-04 14:00:00,1157.0,43,-49751.0
axisbank_15min,2017-08-04 14:15:00,510.5,98,-50029.0
britannia_15min,2017-08-04 14:30:00,1939.575,-25,48489.375
drreddy_15min,2017-08-04 14:45:00,2271.0,21,-47691.0
drreddy_15min,2017-08-04 15:00:00,2264.0,-22,49808.0
bhartiartl_15min,2017-08-04 15:15:00,422.19999900000005,118,-49819.599882
adaniports_15min,2017-08-04 15:30:00,408.649999,122,-49855.299878
asianpaint_15min,2017-08-07 10:00:00,1150.34999,-43,49465.049569999996
hcltech_15min,2017-08-07 10:15:00,444.5,-112,49784.0
cipla_15min,2017-08-07 10:30:00,565.95,-88,49803.600000000006
hdfc_15min,2017-08-07 10:45:00,1734.0,-29,50286.0
axisbank_15min,2017-08-07 11:00:00,510.25,-98,50004.5
hdfc_15min,2017-08-07 11:15:00,1751.5,29,-50793.5
bajaj_auto_15min,2017-08-07 11:30:00,2893.8,-17,49194.600000000006
britannia_15min,2017-08-07 11:45:00,1975.0,25,-49375.0
