run_name,end,growth,% return,sharpe,SQN,Trades,open_trades,average_pnl,won_trades,loss_trades,long_trades,short_trades,max_DD
5_0.3,2810642.9788921694,310642.9788921694,12.43,1.12,1.82,31439,31,9.14,11014,20425,15213,16226,323565.9
5_0.4,2762277.448897886,262277.4488978861,10.49,1.01,1.57,29132,30,8.29,10272,18860,14088,15044,313318.21
9_0.4,2796853.268572826,296853.26857282594,11.87,1.19,1.56,18236,37,13.57,6570,11666,8870,9366,387870.99
9_0.3,2794538.275069644,294538.2750696442,11.78,1.11,1.5,19420,39,12.53,6947,12473,9446,9974,388130.07
5_0.5,2714556.690946989,214556.69094698923,8.58,0.8,1.32,26155,26,7.38,9264,16891,12703,13452,296629.68
5_0.6,2647771.003813467,147771.003813467,5.91,0.43,0.96,22325,26,5.77,7931,14394,10865,11460,258990.9
9_0.5,2665364.133956313,165364.13395631313,6.61,0.44,0.79,16721,30,7.05,6035,10686,8166,8555,371380.39
9_0.6,2581495.3186744917,81495.31867449172,3.26,-0.07,0.33,14656,29,3.07,5290,9366,7132,7524,331635.28
3_0.3,2561933.582949386,61933.58294938598,2.48,-0.61,0.33,48137,23,0.95,16709,31428,23286,24851,311096.82
3_0.4,2509142.633952209,9142.633952208795,0.37,-0.77,-0.04,43875,23,-0.13,15364,28511,21220,22655,307710.68
3_0.5,2507625.2727332083,7625.272733208258,0.31,-0.43,-0.04,38493,18,-0.13,13573,24920,18720,19773,277948.12
3_0.6,2497297.4102883087,-2702.589711691253,-0.11,-0.51,-0.11,32014,17,-0.42,11337,20677,15604,16410,244230.89
